mediaId,mediaName,violationCode,currentValue,capOrThreshold,network,lastUpdatedAt,lastUpdatedBy,ratio
cmoyjxgn5000004lepbkbec5l,NC 다이노스 메인 전광판 광고,D,impressions=8500000;dailyFootfall=12000,impressions>dailyFootfall×50,,2026-08-19T15:51:49.254Z,,708.33
cmp3biu21000004l8a8ijkh9c,지하철 2호선 메트로라이브 광고,D,impressions=45000000;dailyFootfall=130000,impressions>dailyFootfall×50,,2026-08-20T07:00:25.192Z,,346.15
cmp3v92yy000004jr7i6ykgy1,골프장 미디어바 광고,D,impressions=2850000;dailyFootfall=8500,impressions>dailyFootfall×50,,2026-08-20T01:03:06.400Z,,335.29
cmp0s58ou000404kty3ncswwp,대구 국제공항 국내선 2층 격리대합실 사각기둥 광고,D,impressions=1600000;dailyFootfall=7200,impressions>dailyFootfall×50,,2026-08-19T15:01:25.031Z,,222.22
cmp0s2i8b000004jxap4ok8ci,대구 국제공항 카트 광고,D,impressions=1800000;dailyFootfall=8500,impressions>dailyFootfall×50,,2026-08-19T15:01:25.467Z,,211.76
cms4vn593000404jo50pv0lmb,스크린골프 미디어 (Screengolf) 광고,D,impressions=14139000;dailyFootfall=70000,impressions>dailyFootfall×50,,2026-08-20T00:38:54.416Z,,201.99
cmozef5v4000404l21zc780sn,인천공항 T1 Center Bridge,D,impressions=20000000;dailyFootfall=110000,impressions>dailyFootfall×50,,2026-08-20T06:51:57.584Z,,181.82
cmp0s5qz9000404jxxq1ve1su,대구 국제공항 도착장 멀티비전 광고,D,impressions=2200000;dailyFootfall=12500,impressions>dailyFootfall×50,,2026-08-19T15:01:24.477Z,,176.00
cmqp7sr5k000004jpyzaczfao,분당선 압구정로데오역 헬로 로데오 DS 광고,D,impressions=6500000;dailyFootfall=38000,impressions>dailyFootfall×50,,2026-08-19T15:01:24.638Z,,171.05
cmp65rrot000004jx2o87isb3,시청 근원빌딩 전광판 광고,D,impressions=8500000;dailyFootfall=50000,impressions>dailyFootfall×50,,2026-08-19T15:01:25.948Z,,170.00
cmp3uwie0000204lbw1zmrp2l,금호 고속버스 외부 광고,D,impressions=18500000;dailyFootfall=120000,impressions>dailyFootfall×50,,2026-08-19T15:01:23.653Z,,154.17
cmqi6xjgq000604jj5krliihl,광주 유스퀘어 기둥 전광판 광고,D,impressions=18000000;dailyFootfall=120000,impressions>dailyFootfall×50,,2026-08-19T15:01:24.010Z,,150.00
cmp0s4prw000204ktul6suaow,대구 국제공항 국내선 1층 전광판 광고,D,impressions=1800000;dailyFootfall=12000,impressions>dailyFootfall×50,,2026-08-14T18:23:09.669Z,,150.00
cmp0s3jby000204jxwc3kgllo,대구 국제공항 2층 출발장 보안검색 바구니 광고,D,impressions=1200000;dailyFootfall=8500,impressions>dailyFootfall×50,,2026-08-19T15:01:24.753Z,,141.18
